Add File	Add Another File	Add Purchase Order	Add Reference Name	Add Rush	Add Timestamping	Add Verbatim	Add Instant First Draft	Login	Payment Information	Add Recipients on Payment Details	Add Recipients on Order Confirmation	Add Glossary	Add Accents	Add Speaker Names	Download Receipt	Go to My Files	Place Another Order
Paste URL	Paste More URLs	true	false	false	false	false	true	Create Account	Prepaid	true	true	true	false	true	true	false	true
Upload	Do Not Add More	false	true	true	true	true	false	Sign In	Prepaid	false	false	false	true	false	false	true	false
Upload	Upload More Files	false	false	false	true	true	true	Sign In	Different Card	true	false	true	false	false	true	true	true
Upload with Enter File Length	Paste More URLs	true	true	true	false	false	false	Create Account	Different Card	false	true	false	true	true	false	false	false
Paste URL	Upload More Files	false	true	false	false	true	false	Create Account	Saved Card	false	false	true	true	true	true	true	false
Paste URL	Do Not Add More	true	false	true	true	false	false	Sign In	Different Card	true	true	false	false	false	false	false	true
Upload with Enter File Length	Upload More Files	true	false	false	true	true	true	Sign In	Prepaid	false	true	false	false	true	false	false	false
Upload with Enter File Length	Paste More URLs	true	true	true	true	false	true	Create Account	PayPal	true	false	false	true	false	true	true	true
Upload	Do Not Add More	false	false	false	false	true	true	Sign In	PayPal	true	true	true	false	true	false	false	false
Upload	Paste More URLs	false	false	true	true	false	true	Sign In	Saved Card	true	true	false	false	false	false	false	true
Upload	Upload More Files	true	true	true	false	false	false	Create Account	PayPal	false	false	true	false	false	false	false	true
Upload with Enter File Length	Do Not Add More	false	false	true	false	true	false	Create Account	Saved Card	true	true	true	true	true	true	true	false
Upload with Enter File Length	Paste More URLs	true	false	false	false	true	true	Create Account	Saved Card	false	false	true	true	false	true	false	true
Paste URL	Do Not Add More	false	true	false	false	false	false	Create Account	PayPal	true	true	false	false	true	false	true	false
